school,age,famsize,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
0,16,0,2,2,2,2,1,0,1,1,1,0,1,0,5,3,4,1,1,5,12,13,11
1,17,0,2,2,0,2,0,0,2,2,0,0,1,1,4,3,5,1,2,4,0,11,10
0,19,1,2,1,0,3,0,0,2,3,1,1,1,1,4,3,1,1,1,5,0,9,10
0,20,0,1,0,2,2,2,0,2,1,1,0,1,1,5,3,1,1,1,5,5,8,10
0,19,0,3,3,2,3,1,2,1,2,0,1,1,1,4,3,5,3,3,5,16,11,12
0,18,0,2,1,2,2,1,0,1,2,0,0,1,1,4,2,5,1,2,1,8,14,14
1,16,0,1,2,2,3,0,0,1,3,1,0,1,0,1,3,2,1,2,4,0,10,8
1,16,1,1,1,0,2,0,0,2,1,0,1,1,1,4,5,5,2,4,5,0,10,10
1,17,0,3,3,3,3,1,0,1,1,0,1,1,1,4,1,4,5,5,3,8,7,10
0,18,1,4,4,4,4,1,0,1,1,0,0,1,1,1,4,2,2,2,1,0,18,18
0,17,0,3,3,1,2,2,0,1,2,0,0,1,1,3,3,3,1,3,3,10,12,13
0,16,0,4,3,3,2,2,0,2,1,0,1,1,1,3,3,3,1,1,4,6,9,11
0,16,1,4,4,1,1,3,0,1,3,0,1,1,1,5,4,5,1,1,4,2,15,15
0,17,0,3,4,0,2,0,0,3,2,0,0,1,0,5,4,5,2,4,5,2,10,9
0,17,0,2,1,2,2,0,0,1,1,0,0,1,1,4,4,2,2,4,5,0,12,12
0,17,0,3,3,3,2,1,0,2,3,0,0,1,1,4,2,2,2,3,5,10,11,11
1,15,0,3,3,3,2,2,0,1,2,0,0,1,1,4,5,4,1,1,1,4,13,12
0,15,0,4,4,3,0,0,0,1,3,0,1,1,1,4,3,3,1,1,5,4,13,14
1,18,0,1,1,2,2,1,0,2,1,1,1,0,1,4,4,3,3,4,4,0,8,9
1,17,0,4,2,2,2,0,0,2,2,0,0,1,1,4,3,3,1,2,4,0,17,18
0,16,0,2,3,3,3,0,0,1,2,0,0,1,1,4,3,3,1,1,2,6,12,12
0,18,0,3,2,2,3,1,0,2,2,0,0,0,1,4,1,1,1,1,5,15,12,9
0,18,1,3,3,3,1,1,1,1,2,0,0,1,1,3,2,4,2,4,4,10,10,10
0,15,0,4,4,3,4,0,1,1,2,0,1,1,1,4,3,3,1,1,5,0,14,15
1,15,0,2,2,1,2,2,0,3,1,0,0,1,0,4,3,3,1,2,4,1,13,12
0,17,0,4,2,2,2,2,0,2,3,0,0,1,1,4,3,3,1,1,3,0,16,16
0,17,1,2,2,2,2,1,1,1,2,0,1,1,1,4,4,2,5,5,4,0,16,16
1,15,0,1,1,0,0,0,1,3,2,0,0,1,0,4,2,1,1,2,2,0,13,14
0,15,0,3,4,0,4,0,0,4,2,0,0,1,0,5,3,3,1,1,5,2,12,11
0,15,0,3,3,3,3,1,0,1,2,0,0,1,0,1,3,2,2,3,1,24,9,8
0,17,1,3,3,3,2,1,0,1,2,0,0,1,1,5,3,3,1,1,5,0,12,12
0,18,0,1,4,2,4,1,0,1,2,0,0,1,0,3,4,4,1,2,5,2,10,10
0,19,0,3,2,3,0,1,0,1,1,0,0,0,1,4,5,4,1,1,4,6,11,9
0,17,0,3,4,0,3,0,1,1,3,0,1,1,1,4,3,4,2,5,5,2,15,15
0,18,1,4,3,1,3,0,0,2,1,0,0,1,1,3,2,4,1,4,1,8,12,12
0,15,0,4,3,3,2,2,0,1,1,0,1,1,1,4,5,5,1,3,1,6,14,13
0,18,0,4,4,2,2,0,0,1,3,0,1,1,1,4,3,3,2,2,3,0,13,14
0,16,0,3,1,3,2,0,0,1,2,0,0,1,1,2,3,3,2,2,4,2,11,11
0,15,0,4,2,4,2,1,0,1,2,0,0,1,0,4,3,3,2,2,5,4,11,12
0,17,0,1,1,0,2,0,1,1,2,0,0,1,1,5,3,3,1,1,3,2,9,11
0,17,0,3,3,2,2,2,1,1,2,0,1,1,1,4,3,4,1,4,4,4,11,9
0,16,0,3,3,2,3,1,1,2,1,0,1,1,1,5,4,2,1,1,5,6,14,14
0,17,1,2,3,3,3,2,1,1,2,0,0,1,1,5,3,3,1,3,3,0,10,11
0,17,0,2,2,0,0,0,0,1,3,0,1,1,1,4,3,3,1,1,4,0,12,12
0,17,0,1,1,0,3,0,0,1,2,0,1,1,1,5,3,3,1,1,3,0,12,11
1,20,0,3,3,0,3,3,0,2,2,1,1,1,1,3,3,4,2,4,3,8,11,9
0,18,0,2,1,3,3,3,0,1,1,2,0,0,1,3,2,5,2,5,5,4,7,8
0,16,0,4,2,4,3,3,0,1,1,0,1,1,1,4,3,3,3,4,3,8,10,9
1,16,0,3,3,2,2,2,0,1,1,0,1,0,1,4,5,4,1,1,4,0,14,13
0,16,0,2,1,2,2,0,0,3,1,0,0,1,1,4,3,3,1,1,4,7,15,16
0,16,0,4,4,1,2,1,0,1,1,0,0,1,1,4,4,4,1,2,2,6,17,17
1,16,1,1,2,0,2,0,0,1,2,0,1,0,1,4,4,5,1,3,3,0,8,9
1,16,0,3,4,2,1,3,0,3,2,0,0,1,0,3,4,5,1,2,5,4,9,10
0,15,1,1,1,0,2,3,0,1,2,0,0,1,1,4,3,2,2,3,3,6,12,13
0,18,1,1,1,2,0,1,0,1,3,0,0,1,0,4,4,3,2,3,3,4,11,12
0,15,0,4,4,4,4,0,0,2,1,0,1,1,1,4,3,2,1,1,5,6,13,14
1,18,0,3,3,0,0,0,0,1,2,2,1,0,1,4,4,5,1,3,3,9,4,8
0,18,0,2,2,2,2,1,0,1,2,0,0,1,0,3,2,3,1,1,5,4,11,11
1,18,0,2,2,3,2,1,0,2,3,0,0,1,1,4,2,1,1,1,4,5,14,14
0,16,1,1,2,2,3,2,1,1,2,0,1,1,1,4,4,3,1,1,1,0,13,13
1,17,0,2,3,2,3,1,1,2,2,0,1,1,1,4,4,3,1,1,3,4,14,15
0,17,1,3,2,4,3,1,0,1,1,0,0,1,1,4,4,4,3,4,3,18,13,13
1,16,0,1,1,0,2,0,1,2,2,3,0,1,0,3,4,3,1,1,1,0,7,7
1,17,0,1,1,0,3,3,0,3,2,0,0,1,1,5,1,3,3,3,1,0,10,10
0,18,0,2,2,2,0,0,2,1,1,1,1,0,1,4,4,3,2,2,1,26,7,8
0,16,1,2,2,3,3,2,1,2,1,0,1,1,1,2,3,3,2,2,2,4,12,11
1,18,1,4,4,3,2,2,0,1,1,0,1,1,1,5,4,5,1,1,5,3,17,17
0,18,0,2,1,2,2,0,2,2,3,0,0,1,1,4,4,4,1,1,3,10,12,10
0,16,0,2,1,2,2,3,0,1,2,0,1,1,1,5,3,4,1,1,2,2,12,13
1,17,0,4,4,4,3,3,1,2,2,0,1,1,1,4,3,3,1,2,5,2,12,12
1,17,0,3,3,3,0,0,0,2,4,1,1,1,0,5,4,5,3,4,5,0,10,11
0,15,0,4,3,4,2,2,0,1,2,0,0,1,1,4,4,1,1,1,1,0,12,13
0,19,0,2,1,2,2,2,0,1,1,0,0,1,1,5,3,4,1,4,4,10,7,11
0,17,0,4,3,1,3,2,0,1,3,0,0,1,1,4,2,2,1,2,3,0,17,18
0,15,0,1,1,2,2,0,0,3,1,1,1,1,1,5,5,5,1,1,1,2,8,9
1,16,0,2,3,0,3,0,0,2,2,0,0,1,0,4,5,2,1,2,5,0,16,17
1,17,1,1,3,2,2,0,1,2,1,0,1,1,0,5,1,2,3,3,5,2,12,11
1,15,0,1,2,2,3,0,0,3,2,0,1,1,0,5,5,5,1,3,5,11,9,11
0,16,0,4,2,3,2,0,0,1,2,0,0,1,1,4,2,3,1,1,5,2,16,15
0,15,1,2,2,3,1,2,0,1,4,0,1,1,1,4,3,4,1,1,4,2,11,12
0,16,0,4,4,1,4,3,0,1,2,0,1,1,0,2,4,4,2,3,4,0,17,16
0,15,0,3,4,3,1,0,0,1,3,0,1,1,1,4,3,2,1,1,5,2,11,12
1,17,0,1,2,2,3,0,1,2,2,0,0,1,0,3,2,2,1,2,3,0,13,13
0,16,0,4,4,3,3,0,0,1,1,0,1,1,1,5,3,2,1,2,5,4,14,15
0,18,0,1,1,0,2,0,0,3,1,3,1,1,0,5,2,5,1,5,4,6,11,10
0,16,0,3,3,3,2,1,0,1,2,0,1,1,1,4,2,3,1,2,3,0,11,12
1,16,0,2,2,1,2,0,0,1,2,0,0,1,0,3,3,2,1,1,3,2,8,10
1,17,0,2,1,2,2,3,0,3,1,0,1,0,0,5,5,5,5,5,3,8,8,10
1,16,0,0,2,2,2,3,0,2,1,0,1,1,0,3,2,3,1,2,2,0,12,11
0,15,0,4,2,1,3,3,0,1,1,0,0,1,1,2,2,4,2,4,1,0,11,11
1,18,0,1,1,2,2,1,0,4,3,0,0,1,1,4,3,2,1,2,4,4,10,11
0,18,0,3,4,2,2,0,0,1,1,0,1,1,1,5,4,4,1,1,1,4,11,12
0,17,0,3,4,3,2,0,0,1,3,0,0,1,1,4,4,5,1,3,5,8,11,13
0,16,0,4,4,4,4,1,0,1,2,0,1,1,1,4,4,5,5,5,5,4,12,11
0,16,0,2,2,0,2,1,0,1,2,1,1,1,1,3,1,2,1,1,5,12,8,10
0,18,0,2,3,0,2,0,0,1,3,0,0,1,1,4,3,3,1,2,3,0,11,12
0,18,0,2,2,0,2,0,0,4,2,0,1,1,0,4,2,5,1,1,2,2,10,9
1,17,0,3,1,2,2,0,0,2,2,3,1,1,1,5,4,4,1,1,5,2,7,9
0,18,1,4,3,4,3,0,0,2,1,0,1,1,1,4,2,3,1,2,1,0,10,10
0,18,1,4,4,1,2,1,0,1,2,0,0,1,1,4,2,4,1,1,4,0,14,15
0,16,0,4,3,4,2,1,0,1,2,0,1,1,1,3,4,3,2,3,3,4,11,10
0,17,0,3,2,2,2,0,0,2,2,2,0,1,1,4,4,4,1,4,3,4,7,6
1,17,0,1,1,0,2,2,0,2,1,0,1,1,1,4,4,5,1,2,5,0,11,11
0,15,0,1,1,2,2,2,0,1,2,0,0,1,1,3,3,4,2,4,5,2,13,11
0,17,0,1,2,0,2,1,0,1,2,0,0,1,0,3,1,3,1,5,3,6,9,9
0,15,0,4,4,1,1,3,1,1,1,0,0,1,1,5,4,2,1,1,5,0,11,12
0,17,0,2,2,2,3,3,0,2,1,0,0,0,0,5,2,2,1,1,4,0,9,10
1,16,0,2,1,1,3,3,0,2,2,0,0,1,1,4,2,2,1,4,5,2,9,7
1,16,0,1,1,2,2,1,1,4,4,0,0,1,1,4,3,2,1,1,1,0,13,10
0,17,1,2,2,2,2,1,0,1,1,1,0,0,1,3,1,2,1,1,1,8,11,9
0,16,0,3,3,2,2,1,1,1,2,0,0,1,0,4,3,2,1,2,5,0,11,13
0,17,1,3,1,3,2,2,0,2,4,0,0,1,0,3,1,2,1,1,3,0,18,19
1,18,0,4,4,4,4,1,1,1,2,0,1,1,1,3,2,4,1,4,2,4,17,18
0,17,1,2,2,3,3,0,0,1,3,0,1,1,1,3,3,2,2,2,3,0,11,11
0,17,0,4,4,4,4,2,0,1,2,0,1,1,1,4,5,5,1,3,2,0,13,13
0,15,0,3,4,3,3,1,1,1,1,0,0,1,1,5,5,5,3,2,5,2,9,9
0,18,1,2,1,0,2,0,0,4,2,0,1,1,1,4,3,2,4,5,3,2,9,10
1,16,1,3,4,0,2,3,0,3,2,0,0,1,0,4,2,1,1,1,2,2,7,9
0,17,0,3,2,1,1,2,1,1,4,0,1,1,1,5,2,2,1,2,5,0,18,18
1,17,1,1,1,2,3,0,1,1,3,0,0,1,0,4,3,3,1,1,3,0,11,11
1,17,0,3,1,0,2,2,0,1,2,0,1,1,1,4,5,4,2,3,1,10,8,9
0,16,1,1,2,1,3,0,0,2,1,2,0,1,1,4,4,5,3,5,5,0,9,8
0,17,1,1,1,1,2,0,0,2,1,1,1,1,1,4,4,4,1,2,5,0,9,10
1,15,1,1,1,0,2,0,0,2,1,0,0,0,0,5,2,1,1,3,4,0,9,10
1,18,0,4,2,2,2,1,1,2,1,1,0,1,0,5,4,3,4,3,3,0,7,7
0,17,1,4,3,1,2,2,1,1,2,0,1,1,1,3,2,3,1,2,3,0,14,12
0,18,0,3,2,2,3,3,0,1,3,0,0,1,1,5,4,3,2,3,1,4,14,16
0,18,1,3,4,2,2,2,2,1,2,0,1,1,1,4,3,5,1,4,2,9,13,14
0,15,1,4,3,3,3,2,1,1,2,0,1,1,1,4,4,4,2,4,2,0,13,12
0,16,0,4,4,2,2,2,0,1,1,0,1,1,1,5,3,4,1,2,1,4,12,13
0,18,0,2,1,2,2,2,0,2,2,0,1,1,1,4,3,1,1,1,5,10,12,13
0,18,1,4,3,2,2,1,2,2,2,0,0,1,1,4,4,5,1,2,2,0,13,14
1,19,0,1,1,0,0,0,2,2,2,3,1,0,0,3,5,4,1,4,1,0,8,0
0,18,0,4,4,4,2,2,0,2,2,0,1,1,1,4,3,4,2,2,4,8,10,11
1,18,1,1,1,0,3,0,1,2,3,0,0,1,1,5,3,2,1,1,4,0,19,17
1,18,0,1,1,0,3,0,0,3,2,1,0,0,0,4,4,2,1,2,2,2,9,10
0,16,0,1,3,0,3,0,1,1,1,1,0,0,1,5,3,3,1,4,2,2,9,8
0,17,0,3,2,2,2,1,0,1,2,0,0,1,1,4,3,3,2,3,2,0,14,14
1,18,1,1,2,0,2,2,0,2,2,0,0,1,1,4,4,3,1,2,4,0,12,13
1,15,1,4,1,1,3,2,1,1,2,0,1,1,1,5,3,4,1,2,2,0,12,13
1,17,1,4,4,2,3,1,0,1,3,0,0,1,1,4,4,3,1,2,5,0,15,14
0,17,0,3,2,3,3,0,0,1,1,3,1,1,1,5,5,5,2,4,5,2,8,8
0,17,0,3,2,3,3,0,0,2,1,3,1,0,0,4,5,2,1,1,2,10,8,7
1,17,1,2,2,3,3,3,0,3,4,1,0,1,0,1,3,5,3,5,3,2,10,8
0,16,0,4,4,1,2,2,1,1,2,0,1,1,1,4,2,4,2,4,1,0,13,13
0,15,0,3,4,3,2,0,0,1,2,0,1,1,1,5,4,4,1,1,1,0,16,16
0,15,1,3,4,2,2,1,0,1,2,0,1,1,1,5,3,2,1,1,1,0,10,11
0,18,0,4,4,4,3,1,0,2,1,0,1,1,1,3,2,4,1,4,3,6,11,12
0,17,1,3,2,2,2,2,0,1,2,0,0,1,1,4,4,4,1,2,5,10,16,18
0,18,0,3,3,3,3,1,0,1,2,0,1,1,1,5,3,4,1,1,4,8,10,11
0,15,0,4,4,3,4,3,1,1,2,0,1,1,1,4,4,4,1,1,3,2,13,12
0,15,1,4,3,2,2,0,0,1,2,0,1,1,1,5,2,2,1,1,5,4,10,11
0,20,0,3,2,3,2,0,2,1,1,2,1,1,0,5,5,3,1,1,5,0,14,15
0,16,0,3,3,3,3,2,0,1,1,0,1,1,1,4,3,2,3,4,5,0,11,10
0,19,1,2,3,0,2,1,2,2,1,1,0,0,1,2,2,3,3,4,5,16,10,11
0,16,1,2,2,2,0,0,1,2,2,1,1,1,1,4,3,3,2,2,5,14,10,11
0,15,1,2,1,0,2,1,0,2,1,0,1,0,1,4,4,2,1,1,5,0,11,10
0,18,1,2,4,3,2,0,0,2,2,1,0,1,1,4,3,3,1,1,3,18,10,10
0,16,1,3,3,4,2,1,1,3,1,0,1,1,1,3,3,4,3,5,3,16,10,11
1,16,0,2,2,2,3,0,1,1,1,1,1,1,1,4,4,3,1,4,3,1,9,10
0,16,1,2,2,3,3,0,0,3,2,0,0,1,1,4,3,3,2,3,4,0,14,13
0,15,1,4,4,4,2,1,2,1,1,0,0,1,1,5,4,3,2,4,5,8,10,11
1,17,0,4,2,4,3,1,0,1,2,0,1,1,1,5,5,5,1,3,5,0,8,8
1,16,1,2,1,2,2,1,0,1,1,0,0,1,1,5,4,3,1,1,5,2,10,8
1,18,0,1,2,2,2,0,1,1,2,1,1,1,1,3,4,4,2,3,5,9,9,8
1,15,0,3,3,3,3,0,1,2,1,0,1,1,1,4,3,3,2,4,3,11,12,10
1,18,0,2,2,2,2,3,0,2,1,1,0,0,1,5,5,5,1,1,3,0,8,6
0,15,0,4,4,1,3,1,0,1,2,0,0,1,1,5,4,2,3,4,5,0,10,11
0,18,0,4,4,0,4,0,0,2,2,0,0,1,0,4,3,4,1,1,3,4,0,11
1,18,0,1,2,0,2,0,0,2,2,2,0,1,0,4,3,3,1,1,5,2,6,8
0,16,1,4,2,4,2,0,0,1,2,0,1,1,1,4,5,1,1,3,5,0,12,13
0,16,0,2,2,2,2,1,0,1,2,0,0,1,1,5,1,5,1,1,4,0,12,12
0,18,0,3,2,2,2,0,0,1,3,0,1,1,0,5,3,2,1,1,3,2,10,11
0,16,1,4,3,4,3,0,0,3,2,0,1,1,1,5,4,3,1,2,1,2,16,15
0,18,0,2,3,2,3,2,1,1,1,0,0,1,1,3,1,3,4,5,4,13,13,14
1,17,0,1,0,2,2,3,0,2,2,0,0,1,1,4,4,5,1,1,4,1,11,9
1,17,0,2,2,2,2,0,0,2,1,0,1,0,0,5,5,5,3,5,5,0,8,13
0,18,0,4,4,4,3,1,1,1,2,0,1,1,1,4,3,3,2,2,2,0,12,12
0,15,1,4,3,4,3,1,0,1,3,0,1,1,1,5,4,3,1,1,4,0,14,14
1,17,0,1,2,2,2,0,0,1,1,0,1,1,1,3,5,5,1,3,1,4,7,8
1,17,0,2,2,2,2,0,0,1,1,1,1,1,0,1,2,1,2,3,5,0,7,0
1,16,0,2,3,0,3,3,0,2,2,0,1,1,1,3,3,3,1,1,2,0,8,10
1,16,1,4,1,2,0,3,1,1,1,0,0,1,1,4,1,2,2,1,2,0,10,11
1,19,0,2,3,0,3,0,2,1,1,1,0,0,1,4,4,4,1,1,2,0,9,9
0,17,0,4,3,2,2,0,0,1,2,0,1,1,1,5,2,3,1,1,2,4,11,11
0,16,1,2,2,2,2,1,0,1,2,0,0,1,1,4,4,4,1,1,3,0,13,12
0,17,0,2,4,0,2,0,1,1,3,0,0,1,1,4,4,3,1,1,5,0,15,15
0,15,0,2,2,2,2,1,0,1,1,0,0,1,1,4,2,2,1,2,5,8,11,12
1,15,0,3,1,2,3,1,0,2,1,0,0,1,0,3,2,3,1,3,4,0,10,9
1,18,0,1,1,0,0,0,0,2,1,1,0,0,1,3,2,3,1,1,2,4,9,11
1,16,1,1,1,0,2,3,0,3,2,0,0,1,1,4,3,2,1,3,5,6,6,8
1,17,0,2,2,2,2,3,0,2,2,0,0,1,0,5,1,3,1,1,5,0,11,9
0,17,0,3,2,2,2,1,0,1,2,0,0,1,1,4,3,2,2,3,2,0,12,13
0,18,0,3,3,0,2,0,1,1,2,0,0,1,1,4,1,4,1,1,3,8,11,12
1,18,1,4,4,4,3,3,0,2,3,0,0,1,1,4,2,2,2,2,5,0,15,16
0,16,0,3,3,2,3,1,0,1,2,0,1,1,1,4,3,3,2,4,5,4,11,11
0,19,0,1,1,2,2,0,2,3,3,0,1,0,0,1,5,5,4,3,5,12,10,10
0,17,0,2,1,2,2,1,0,2,1,3,1,0,1,4,5,1,1,1,3,0,9,9
1,17,0,1,1,2,3,3,1,3,1,0,0,0,0,4,2,3,3,4,4,4,12,13
1,18,0,1,2,0,0,0,1,2,2,0,0,0,0,4,1,1,1,1,4,0,11,11
0,18,0,4,3,4,2,0,0,1,2,0,0,1,1,4,3,2,1,1,3,2,10,10
0,16,0,4,2,4,3,1,0,2,2,0,1,1,1,5,3,3,1,1,1,2,13,14
0,15,0,4,4,4,1,2,0,1,2,0,0,1,1,3,3,3,1,2,2,2,14,14
0,17,0,4,4,4,4,0,0,1,1,0,1,1,1,4,4,4,1,1,5,2,15,16
0,17,0,3,3,3,3,3,0,1,2,0,1,1,1,4,3,4,2,3,4,6,11,13
0,18,0,1,2,0,2,1,2,2,1,0,0,0,1,3,4,4,2,4,4,10,10,10
0,18,0,2,1,2,2,1,0,1,2,0,1,1,1,5,2,4,1,2,4,2,16,16
1,17,1,1,0,2,2,1,0,1,1,0,0,1,0,4,1,2,1,1,5,4,11,11
0,17,1,2,2,3,2,0,0,2,2,0,0,1,1,4,4,4,2,3,5,6,12,12
0,16,0,3,2,2,2,1,0,1,1,0,0,1,1,5,4,3,1,1,5,4,12,12
1,16,1,1,2,2,2,2,0,2,1,0,1,1,1,5,4,5,1,4,2,0,14,14
1,18,1,2,2,3,3,0,0,1,2,1,1,1,1,2,3,3,1,2,4,3,7,6
0,16,0,2,1,0,2,0,0,4,1,0,0,1,0,3,2,1,1,1,2,4,9,9
0,19,1,4,3,3,0,2,0,1,2,0,0,1,1,4,3,1,1,1,1,4,11,13
0,18,0,4,2,1,2,2,1,1,2,0,1,1,1,5,4,5,1,3,5,4,10,12
0,18,1,1,1,2,2,0,0,1,1,2,0,0,1,2,3,5,2,5,4,0,11,9
1,18,0,4,4,4,4,2,0,2,2,0,1,1,1,4,3,5,1,2,1,0,18,18
0,18,0,3,1,2,2,2,0,1,2,0,1,1,1,5,3,3,1,1,4,4,8,8
0,19,1,1,1,2,2,0,2,3,2,2,0,1,1,5,3,4,1,1,4,2,8,8
0,17,0,4,4,3,4,1,0,2,1,1,0,1,1,4,2,4,2,3,2,30,14,15
1,16,1,4,4,0,2,1,0,1,2,0,0,1,0,5,3,2,1,3,2,5,10,11
0,17,0,3,4,0,3,1,0,1,3,1,0,1,1,4,4,3,3,4,5,14,8,9
0,17,0,4,4,4,4,0,0,1,1,0,1,1,1,4,2,1,1,2,5,6,10,8
0,22,0,3,1,3,3,3,0,1,1,3,0,0,1,5,4,5,5,5,1,12,7,8
1,18,0,2,2,0,2,3,0,2,3,0,0,1,0,5,3,3,1,3,4,0,14,17
0,15,0,2,1,1,3,2,0,1,2,0,1,1,1,5,4,2,1,1,5,4,10,9
0,16,0,2,2,2,2,2,0,1,2,0,0,1,1,3,3,4,1,1,4,0,13,13
0,17,1,2,2,3,3,0,1,1,4,0,1,1,1,3,4,1,1,1,2,2,10,11
1,17,0,1,1,2,3,2,0,3,1,1,0,1,1,5,2,1,1,2,1,0,8,8
0,15,0,4,3,4,2,0,0,2,2,0,0,1,1,5,4,3,1,2,3,0,12,12
0,17,0,4,3,1,2,2,0,1,3,0,1,1,1,4,4,3,1,3,4,0,11,12
0,18,0,2,1,3,2,2,0,1,2,3,1,0,1,5,4,5,1,3,5,10,10,9
0,17,0,2,2,2,2,0,0,1,2,0,0,1,0,4,2,2,1,1,3,4,14,13
0,15,0,4,3,3,3,2,0,1,2,0,1,1,1,4,3,2,1,1,1,0,15,14
0,17,1,4,4,2,4,1,1,2,1,0,0,1,1,4,1,1,2,2,5,0,12,13
1,17,0,3,2,2,2,3,1,2,2,0,0,1,1,4,1,2,2,2,1,0,13,14
0,17,1,4,2,4,3,2,0,1,4,0,1,1,1,4,2,3,1,1,4,2,14,15
0,17,0,2,2,2,3,2,1,3,3,0,0,1,1,4,2,3,1,1,1,8,13,15
1,16,0,4,4,1,1,0,0,1,2,0,0,1,1,4,3,4,1,2,3,4,8,8
1,18,0,1,1,2,2,0,0,3,2,2,1,1,0,3,4,4,2,2,5,3,7,8
0,17,1,4,3,1,2,0,0,2,2,0,1,1,1,2,5,5,1,4,5,8,15,15
